id,question,expected_file,expected_page,valido,motivo,categoria_errore
Q029,What is the color of the outer panel according to the Munsell code provided in the text?,connections.pdf,207,True,"La domanda è chiara e la risposta è supportata dal testo fornito, che contiene la tabella con il codice Munsell e la descrizione del colore del pannello.",Nessuna
Q060,What precautions should be taken during the maintenance of the robot according to the Fanuc R-30iB manual?,safety_precautions.pdf,s-8,True,La domanda è chiara e la risposta è interamente supportata dal testo fornito.,Nessuna
Q091,What must be done before replacing the main board in the event of an SRVO-377 alert?,troubleshooting_alarms.pdf,68,True,"La domanda è chiara e la risposta è supportata dal testo fornito, che menziona espressamente la necessità di eseguire un backup completo del controller prima di sostituire la scheda principale.",Nessuna
Q043,What is the maximum allowed length for an optical cable inside a cabinet?,connections.pdf,265,True,"La domanda è chiara e la risposta è supportata dal testo fornito, che specifica la lunghezza massima per un cavo ottico all'interno di un cabinet.",Nessuna
Q049,What connectors are used to connect the I/O Link cable and what are the respective reference pages in the manual?,connections.pdf,287,True,"La domanda è chiara e la risposta è supportata dal testo fornito, che menziona i connettori JD44A e JRS26 per la connessione del cavo I/O Link alle pagine 136 e 134 rispettivamente.",Nessuna
Q095,What are the steps to follow if the error SRVO-478 related to the temperature difference of the force sensor occurs?,troubleshooting_alarms.pdf,71,True,"La domanda è chiara e la risposta è supportata dal testo fornito, che contiene informazioni sulla gestione dell'errore relativo alla differenza di temperatura del sensore di forza.",Nessuna
Q014,What is the length of the connection cable for the FANUC/elbow interface type with code A05B-2650-J161?,connections.pdf,157,True,"La domanda è chiara e la risposta è supportata dal testo fornito, che contiene le informazioni necessarie per determinare la lunghezza del cavo di connessione per il tipo di interfaccia FANUC/elbow con codice A05B-2650-J161.",Nessuna
Q066,What precautions must be taken when establishing a temporary connection between EES1 and EES11 and between EES2 and EES21 in a system that uses the external emergency signal?,troubleshooting_alarms.pdf,28,True,"La domanda è chiara e la risposta è interamente supportata dal testo fornito, senza informazioni aggiuntive non verificabili.",Nessuna
Q064,"What are the steps to follow if the error message SRVO-003 indicates that the deadman switch is not pressed, even though the teach pendant is enabled?",troubleshooting_alarms.pdf,22,True,"La domanda è chiara e correttamente formulata, la risposta è interamente supportata dal testo fornito senza aggiunta di informazioni esterne.",Nessuna
Q075,What actions should be taken if the alarm SRVO-064 PHAL occurs and what other alarms might accompany it?,troubleshooting_alarms.pdf,42,True,"La domanda è chiara e la risposta è interamente supportata dal testo fornito, senza informazioni aggiuntive non verificabili.",Nessuna
Q081,"What are the steps to follow if the alert SRVO-105 regarding the open door or emergency stop is received, considering that the auxiliary cabinet is installed?",troubleshooting_alarms.pdf,46,True,"La domanda è chiara e la risposta è interamente supportata dal testo fornito, che descrive i passaggi da seguire per l'allarme SRVO-105.",Nessuna
Q086,What are the steps to reset the chain error using Method 1?,troubleshooting_alarms.pdf,58,True,"La domanda è chiara e la risposta è interamente supportata dal testo fornito, senza dettagli inventati o informazioni esterne.",Nessuna
Q092,What are the steps to follow to resolve the SRVO-450 Drvoff circuit fail issue in the Fanuc R-30iB controller?,troubleshooting_alarms.pdf,70,True,"La domanda è chiara e la risposta è supportata dal testo fornito, che descrive i passaggi per risolvere il problema del circuito Drvoff.",Nessuna
Q093,What should be done if the error SRVO-479 related to rapid temperature changes of the force sensor occurs?,troubleshooting_alarms.pdf,71,False,"Risposta del Judge non formattabile come JSON",Errore di parsing del Judge
Q085,What actions should be taken if the alarm SRVO-216 OVC (total) occurs in the Fanuc R-30iB controller?,troubleshooting_alarms.pdf,55,False,"La domanda non è supportata dal testo fornito, che non menziona l'allarme SRVO-216 OVC (total) ma solo altri codici di allarme come SRVO-206 e SRVO-213.",Domanda non supportata dal testo
Q008,What are the pins of the JD44A connector associated with the RXSLCS and TXSLCS signals?,connections.pdf,137,True,"La domanda è chiara e la risposta è supportata dal testo fornito, che menziona esplicitamente le associazioni dei pin RXSLCS e TXSLCS nel connettore JD44A.",Nessuna
Q050,What are the main differences between the NRTL controller and the CE controller according to the manual?,overview_configuration.pdf,3,True,"La domanda è chiara e la risposta è supportata dal testo fornito, che descrive le differenze tra i controller NRTL e CE.",Nessuna
