id,question,expected_file,expected_page,valido,motivo,categoria_errore
Q001,Quali strumenti di manutenzione sono raccomandati per il controller Fanuc R-30iB?,checks_maintenance.pdf,11,True,"La domanda è chiara e la risposta è interamente supportata dal testo fornito, senza allucinazioni o informazioni esterne non verificabili.",Nessuna
Q002,Qual è il codice di ordinazione per la scheda di controllo dell'asse a 12 assi?,circuit_boards_amplifiers.pdf,95,True,La domanda è chiara e la risposta è supportata dal testo fornito.,Nessuna
Q003,Quali sono i modelli di controller R-30iB menzionati nel testo?,circuit_boards_amplifiers.pdf,98,True,"La domanda è chiara, la risposta è supportata dal testo e non ci sono errori grammaticali o di formulazione.",Nessuna
Q004,Qual è la tensione comune impostata per il lato A del connettore ICOM1?,circuit_boards_amplifiers.pdf,100,True,La domanda è chiara e la risposta è supportata dal testo fornito.,Nessuna
Q005,Quale valore deve essere impostato regolando i potenziometri VR1 e VR2 durante l'aggiustamento del guadagno e dell'offset del canale 1?,circuit_boards_amplifiers.pdf,101,True,La domanda è chiara e la risposta è supportata dal testo.,Nessuna
Q006,Qual è il modello di amplificatore servo per il robot ARC Mate 120iC?,circuit_boards_amplifiers.pdf,103,True,La domanda è chiara e la risposta è supportata dal testo fornito nella tabella 5.,Nessuna
Q007,Quali modelli di controller sono descritti nella sezione 'OVERVIEW' del manuale?,connections.pdf,129,True,La domanda è chiara e la risposta è supportata dal testo fornito.,Nessuna
Q008,Qual è il connettore utilizzato per la connessione dell'I/O link e dell'I/O link i nel controller R-30 i B Mate/R-30 i B Mate Plus?,connections.pdf,133,True,La domanda è chiara e la risposta è supportata dal testo fornito.,Nessuna
Q009,Qual è la funzione del connettore JD44A nel sistema R-30iB?,connections.pdf,136,True,La domanda è chiara e la risposta è supportata dal testo fornito.,Nessuna
Q010,Qual è il peso per metro del cavo non flessibile per il robot RP1 di gruppo 1?,connections.pdf,138,True,La domanda è chiara e la risposta è supportata dal testo fornito.,Nessuna
Q011,Quali sono i codici dei connettori associati all'amplificatore di servo del robot R-30 i B Mate/R-30 i B Mate Plus?,connections.pdf,139,True,La domanda è chiara e la risposta è interamente supportata dal testo fornito.,Nessuna
Q012,Qual è la configurazione dell'uscita del trasformatore per un controller CE?,connections.pdf,141,True,"La domanda è chiara e la risposta è supportata dal testo fornito, che specifica la configurazione dell'uscita del trasformatore per un controller CE.",Nessuna
